symptom,ayurvedic_remedy_english,ayurvedic_remedy_kannada
insomnia,"Brahmi, jatamansi, warm milk at night.","ಬ್ರಾಹ್ಮಿ, ಜಟಾಮಾಂಸಿ, ರಾತ್ರಿ ಬಿಸಿ ಹಾಲು."
fatigue,"Ashwagandha, almond milk, amla.","ಅಶ್ವಗಂಧಾ, ಬಾದಾಮಿ ಹಾಲು, ಅಮ್ಲಾ."
anxiety,"Tagara, brahmi, meditation, tulsi.","ಟಗಾರೆ, ಬ್ರಾಹ್ಮಿ, ಧ್ಯಾನ, ತುಳಸಿ."
allergy,"Neem, turmeric, avoid allergens.","ನೇಮ್, ಅರಿಶಿಣ, ಕಾರಣ ತಪ್ಪಿಸಿ."
fluctuating blood pressure,"Brahmi, arjuna bark tea, meditation.","ಬ್ರಾಹ್ಮಿ, ಅರ್ಜುನ ತೊಗಟೆ ಚಹಾ, ಧ್ಯಾನ."
weight gain,"Triphala, honey-lemon water, regular walks.","ತ್ರಿಫಲಾ, ಜೇನು-ನಿಂಬೆ, ದಿನ ನಡಿಗೆ."
weight loss,"Ashwagandha, dates, nutritious meals.","ಅಶ್ವಗಂಧಾ, ಖರ್ಜೂರ, ಪೌಷ್ಟಿಕ ಆಹಾರ."
hair fall,"Bhringraj oil, amla, hibiscus paste.","ಭೃಂಗರಾಜ್ ಎಣ್ಣೆ, ಅಮ್ಲಾ, ಜಸವಂದ ಪೇಸ್ಟ್."
acidity,"Cold milk, mint juice, fennel water.","ತಣ್ಣನೆಯ ಹಾಲು, ಪುದೀನಾ ರಸ, ಸೋಂಪು ನೀರು."
piles,"Triphala, buttermilk, sitz bath.","ತ್ರಿಫಲಾ, ಮಜ್ಜಿಗೆ, ಬಿಸಿ ಕುಳಿಮೆ."
eczema,"Neem oil, coconut oil, avoid sour foods.","ನೇಮ್ ಎಣ್ಣೆ, ತೆಂಗಿನ ಎಣ್ಣೆ, ಹುಳಿ ಆಹಾರ ತಪ್ಪಿಸಿ."
low immunity,"Chyawanprash, amla juice, ginger tea.","ಚ್ಯವನಪ್ರಾಶ, ಅಮ್ಲಾ ರಸ, ಶುಂಠಿ ಚಹಾ."
high cholesterol,"Garlic, amla, guggal, oats.","ಬೆಳ್ಳುಳ್ಳಿ, ಅಮ್ಲಾ, ಗುಗ್ಗುಲ್, ಓಟ್ಸ್."
anemia,"Amla, dates, beetroot, spinach.","ಅಮ್ಲಾ, ಖರ್ಜೂರ, ಬೀಟ್ರೂಟ್, ಪಾಲಕ್."
loss of appetite,"Ginger, lemon, cumin seeds.","ಶುಂಠಿ, ನಿಂಬೆ, ಜೀರಿಗೆ."
frequent urination,"Barley water, gokshura, coriander seeds.","ಜೋಳ ನೀರು, ಗೋಕ್ಷುರ, ಕೊತ್ತಂಬರಿ ಬೀಜ."
menstrual cramps,"Shatavari, ginger tea, warm compress.","ಶತಾವರಿ, ಶುಂಠಿ ಚಹಾ, ಬಿಸಿ ಹತ್ತು."
pcos,"Cinnamon, fenugreek, yoga, shatavari.","ದಾಲ್ಚಿನ್ನಿ, ಮೆಂತ್ಯೆ, ಯೋಗ, ಶತಾವರಿ."
liver disorder,"Bhumyamalaki, kutki, giloy, turmeric.","ಭೂಮ್ಯಾಮಲಕೀ, ಕುಟ್ಕಿ, ಗುಡೂಚಿ, ಅರಿಶಿಣ."
